Song,Hot100 Rank,Hot100 Ranking Year,is_local,num_of_song_avaliable_markets
Goin' Crazy,70,2005,FALSE,103
The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999,67,2010,FALSE,184
She's Playing Hard To Get,50,1992,FALSE,182
Hot Boy,54,2014,FALSE,80
Even If It Breaks Your Heart,99,2012,FALSE,105
Fallin',2,2001,FALSE,185
Catch a Falling Star (with Mitchell Ayres and His Orchestra & The Ray Charles Singers),7,1975,FALSE,185
Sexy Love,51,2006,FALSE,177
Angel,17,2001,FALSE,184
Signs - Live At The Trocadero / 1990,73,1991,FALSE,166
Still Water (Love),58,2008,FALSE,184
An American Dream,72,1980,FALSE,184
I Wanna Know,4,2000,FALSE,185
Hoop-Dee-Doo,25,2010,FALSE,182
