Song,Hot100 Rank,Hot100 Ranking Year
Back Stabbers,35,1972
"Um, Um, Um, Um, Um, Um",47,2014
Gone Till November (feat. The New York Philharmonic Orchestra),33,1998
Round and Round - Soul Mix Edit,81,1991
Judy in Disguise (with Glasses),25,1968
Trip,92,2018
"De Do Do Do, De Da Da Da",57,1981
Dawn (Go Away),25,2003
Cradle Of Love,9,1990
Break Up To Make Up,88,1975
My True Story,6,1961
Primrose Lane,47,1961
More Than My Hometown,96,2021
That Girl,90,1996
Tell Laura I Love Her,67,1960
The Old Lamp-Lighter,28,2000
Stick up,70,2023
Linda,4,1975
All I Need Is a Miracle,74,1986
Love To Love You Baby,41,1976
"Painted, Tainted Rose - Remastered",79,1992
Automatic,48,1984
The Look Of Love,36,1968
Love Never Felt So Good - DM CLASSIC RADIO MIX,78,2014
Sand In My Boots,58,2022
Leave Before You Love Me,63,2022
One Right Now,30,2022
Getaway,80,1976
The Fool On The Hill,69,1987
Holiday,39,2017
Theme From Mahogany (Do You Know Where You're Going To) - Single Version,43,1976
Crimson and Clover,78,1982
Chattanooga Choo Choo,25,1946
Catch Me (I'm Falling),66,1988
My Adobe Hacienda,19,1996
Diane,59,1999
I Got My Mind Made Up (You Can Get It Girl),90,1979
Bugatti,91,2013
KIss Of Fire,11,1996
Freeway Of Love,43,1985
Missing You,49,2001
Yes!,79,2000
Stand - Remastered,76,1989
Out of Touch,6,2001
Sister Golden Hair,34,1975
Do The Bird,84,1963
In My Blood,46,2018
Please Don't Go,91,2011
I Wish It Would Rain,22,1968
(I Can't Help) Falling In Love With You,3,2023
Is This Love,78,1987
Outa-Space,22,1972
I Will Wait,52,2013
Middle,80,2016
Flashdance...What a Feeling - Radio Edit,3,1983
Solitaire (Live),59,2023
Live Like We're Dying,48,2010
Hero,5,1994
Feelings - Live,46,1993
Till I Waltz Again With You,6,1953
I'm Still in Love with You (Originally Performed by Al Green) - Karaoke Version,59,2015
Desert Rose,50,2000
Stayin Alive,4,2020
You Need To Calm Down,39,2019
Don't You Want Me,55,1988
I'm Not the Only One - As Originally Performed By Sam Smith,26,2015
My Whole World Ended (The Moment You Left Me),97,1969
Dance (A$$) Remix,57,2012
It Wasn't Me,12,2001
Some Kind Of Wonderful - Remastered 1999,6,1999
Fight Song,20,2016
Just Another Dream - 7” US Mix,87,1991
"I'm On Fire - Live at Giants Stadium, E. Rutherford, NJ - August 1985",82,1986
The Village of St. Bernadette - 1959 #7 Billboard chart hit,56,1960
Romeo - Radio Edit,80,1990
Good Old-Fashioned Lover Boy - Remastered 2011,80,2001
Don't Let Go (Love),63,1997
If You Love Me (Really Love Me),21,2002
Rags to Riches,27,2011
Breaking Up Is Hard to Do,91,1976
I Miss You,3,1986
Drive - 2017 Remaster,41,1984
Better Love Next Time,49,1980
Pimpin' All Over The World,53,2005
Happy,41,2002
So Sad (To Watch Good Love Go Bad) - 2007 Remaster,70,1960
Proud Mary,55,1971
I'm the Only One (Originally Performed by Melissa Etheridge) [Karaoke Version],92,2013
Beautiful Crazy,46,2019
Walkin' My Baby Back Home,24,1991
More Money for You and Me - Medley,98,2007
Let It Out (Let It All Hang Out),69,2006
Baby Love,33,1964
Don’t Leave Me This Way (Re-Recorded),7,2007
The Martian Hop,92,2012
The Wah Watusi,24,1962
Don't Look Back (Originally Performed by Boston) [Karaoke Version],93,2015
Never Be Like You (feat. Kai),60,2016
Oh!,11,2012
Can't Get Used To Losing You (Karaoke in the style of Andy Williams),8,2009
Pon de Replay,18,2005
Nothing's Gonna Stop Us Now,5,1987
I Pledge My Love,80,1995
Don't Be Cruel (In the Style of Cheap Trick) [Karaoke Version],70,2013
Always Be My Baby,5,1996
Con Calma,65,2019
Don't Know Why - In the Style of Norah Jones (Karaoke Version Teaching Vocal),97,2010
Maniac,9,1983
The Promise,83,1989
Groovin',72,1967
You Ain't Seen Nothing Yet,98,1975
Can't Hold Us (feat. Ray Dalton),5,2013
Lonely People,83,1975
Down,90,2017
Just the Way You Are,15,2011
Killing Me Softly With His Song,3,1973
Too Much,69,1998
If You Could Read My Mind,36,1971
Goodbye Girl,47,1978
Me and You and a Dog Named Boo,59,1996
Need You Tonight,2,1988
What Happened To Virgil (feat. Gunna),83,2022
Too Good At Goodbyes,77,2017
Slam,37,1993
Kiss Me More (feat. SZA),6,2021
Couldn't Get it Right (Originally Performed by Climax Blues Band) [Karaoke Version],32,2015
Mr. Bojangles - Remastered 2001,44,2001
Gotham City - Remix,70,2014
Help! - Remastered 2009,7,1965
Family Affair,17,2002
I'm Looking Over A Four Leaf Clover (Jazz Samba),33,1997
I Can't Wait,26,2019
Stuck In The Middle With You,30,1973
Tuesday (feat. Drake),82,2015
Wasting My Time,26,2002
Love So Right,80,1977
All Night Long - Single Version,99,1992
We R Who We R,30,2011
Take It On the Run,32,1981
Greenfields,13,1960
Open The Door,28,2014
I've Been Lonely Too Long - Single Version,54,2002
Born To Be Wild - Single Version,31,1968
Let You Down,29,2018
Magic,32,1975
Got a Hold on Me,91,1984
All The Stars (with SZA),47,2018
Imma Be (Made Famous by Black Eyed Peas),20,2010
Powder Your Face With Sunshine,23,1998
Man On Your Mind - Remastered 2022,92,1982
Too Many Walls,74,1991
Lonesome Town,17,1959
Shake That,62,2006
Ain't Understanding Mellow,84,1992
Be Thankful for What You've Got - David Todd Remix (Radio Edit),60,1980
Twistin' the Night Away,23,1962
Love Of My Life (An Ode To Hip Hop) - Longer Album Version,78,2010
Carnival,60,1995
Love Takes Time,76,1990
I Want A New Drug,55,2006
The Game Of Love,34,1965
Attention,22,2018
Peppermint Twist Pt. 1,25,2020
Just Once In My Life,44,1965
Shout Shout (Knock Yourself Out),49,1962
Someone You Loved,10,2020
Before He Cheats,6,2007
Walk Me Home (In the Style of Pink) [Karaoke Version],99,2019
Look What You Done for Me,54,1972
Homeward Bound,50,1966
Wild Thing,40,1966
Butter,11,2022
Midnight Train to Georgia,49,1973
Call on Me - 2002 Remaster,98,1974
Mission: Impossible Theme,66,2006
The Loco-Motion,49,1988
With Your Love - Remastered,84,1976
Hey Baby,32,2002
What Hurts The Most,26,2006
White on White,42,1997
Straight From The Heart,71,1983
So Alive,51,1989
I Almost Lost My Mind,13,1993
Twilight Time - Single Version,16,1958
Mi Pueblo (My Home Town) (with Juan Gabriel),77,2009
Sentimental Me,16,1950
Dance to the Music,20,1968
Funkytown - Single Version,99,2007
Are You Gonna Be My Girl,76,2004
